period,ratio,subject
2025-09-29,47.83684,target
2025-09-30,45.56831,target
2025-10-01,47.99365,target
2025-10-02,46.22494,target
2025-10-03,48.96446,target
2025-10-04,46.61555,target
2025-10-05,45.79256,target
2025-10-06,49.11433,target
2025-10-07,53.40317,target
2025-10-08,53.17236,target
2025-10-09,51.80064,target
2025-10-10,50.62825,target
2025-10-11,48.00601,target
2025-10-12,49.3131,target
2025-10-13,48.62968,target
2025-10-14,45.88023,target
2025-10-15,43.45377,target
2025-10-16,41.80253,target
2025-10-17,39.98381,target
2025-10-18,40.71463,target
2025-10-19,43.53601,target
2025-10-20,43.72729,target
2025-10-21,41.95091,target
2025-10-22,40.6337,target
2025-10-23,40.31091,target
2025-10-24,38.53827,target
2025-10-25,39.3283,target
2025-10-26,42.94626,target
2025-10-27,41.86698,target
2025-10-28,39.22488,target
2025-10-29,37.92604,target
2025-10-30,36.36041,target
2025-10-31,36.1238,target
2025-11-01,39.51133,target
2025-11-02,41.71748,target
2025-11-03,42.72801,target
2025-11-04,41.63055,target
2025-11-05,40.052,target
2025-11-06,39.91599,target
2025-11-07,38.81591,target
2025-11-08,39.32567,target
2025-11-09,42.42301,target
2025-11-10,42.50732,target
2025-11-11,41.83475,target
2025-11-12,40.05556,target
2025-11-13,38.46259,target
2025-11-14,38.78275,target
2025-11-15,38.80486,target
2025-11-16,41.56461,target
2025-11-17,41.76338,target
2025-11-18,40.29761,target
2025-11-19,39.17355,target
2025-11-20,38.32189,target
2025-11-21,37.60268,target
2025-11-22,39.32155,target
2025-11-23,42.52268,target
2025-11-24,43.20198,target
2025-11-25,41.77818,target
2025-11-26,40.09378,target
2025-11-27,39.2335,target
2025-11-28,37.64877,target
2025-11-29,39.83319,target
2025-11-30,44.10797,target
2025-12-01,46.43196,target
2025-12-02,44.37812,target
2025-12-03,42.01929,target
2025-12-04,39.19997,target
2025-12-05,38.56581,target
2025-12-06,41.50953,target
2025-12-07,46.51964,target
2025-12-08,46.27216,target
2025-12-09,44.47704,target
2025-12-10,42.41177,target
2025-12-11,42.00074,target
2025-12-12,41.44583,target
2025-12-13,43.8234,target
2025-12-14,49.10646,target
2025-12-15,47.58505,target
2025-12-16,45.98889,target
2025-12-17,44.68236,target
2025-12-18,43.13697,target
2025-12-19,42.32334,target
2025-12-20,44.66344,target
2025-12-21,49.42364,target
2025-12-22,48.69225,target
2025-12-23,46.98462,target
2025-12-24,45.5344,target
2025-12-25,48.92212,target
2025-12-26,46.48292,target
2025-12-27,46.74688,target
2025-12-28,50.56212,target
2025-12-29,49.59393,target
2025-12-30,47.65755,target
2025-12-31,43.57367,target
2026-01-01,50.69888,target
2026-01-02,48.68625,target
2026-01-03,49.19189,target
2026-01-04,52.04287,target
